district,date,month,year,visitors
Komaram Bheem Asifabad,2016-01-01,January,2016,0
Komaram Bheem Asifabad,2016-02-01,February,2016,0
Komaram Bheem Asifabad,2016-03-01,March,2016,0
Komaram Bheem Asifabad,2016-04-01,April,2016,0
Komaram Bheem Asifabad,2016-05-01,May,2016,0
Komaram Bheem Asifabad,2016-06-01,June,2016,0
Komaram Bheem Asifabad,2016-07-01,July,2016,0
Komaram Bheem Asifabad,2016-08-01,August,2016,0
Komaram Bheem Asifabad,2016-09-01,September,2016,0
Komaram Bheem Asifabad,2016-10-01,October,2016,0
Komaram Bheem Asifabad,2016-11-01,November,2016,0
Komaram Bheem Asifabad,2016-12-01,December,2016,0
Mahabubabad ,2016-01-01,January,2016,0
Mahabubabad ,2016-02-01,February,2016,0
Mahabubabad ,2016-03-01,March,2016,0
Mahabubabad ,2016-04-01,April,2016,0
Mahabubabad ,2016-05-01,May,2016,0
Mahabubabad ,2016-06-01,June,2016,0
Mahabubabad ,2016-07-01,July,2016,0
Mahabubabad ,2016-08-01,August,2016,0
Mahabubabad ,2016-09-01,September,2016,0
Mahabubabad ,2016-10-01,October,2016,0
Mahabubabad ,2016-11-01,November,2016,0
Mahabubabad ,2016-12-01,December,2016,0
Mahbubnagar,2016-01-01,January,2016,123
Mahbubnagar,2016-02-01,February,2016,126
Mahbubnagar,2016-03-01,March,2016,103
Mahbubnagar,2016-04-01,April,2016,75
Mahbubnagar,2016-05-01,May,2016,58
Mahbubnagar,2016-06-01,June,2016,68
Mahbubnagar,2016-07-01,July,2016,63
Mahbubnagar,2016-08-01,August,2016,86
Mahbubnagar,2016-09-01,September,2016,74
Mahbubnagar,2016-10-01,October,2016,37
Mahbubnagar,2016-11-01,November,2016,29
Mahbubnagar,2016-12-01,December,2016,26
Mancherial,2016-01-01,January,2016,0
Mancherial,2016-02-01,February,2016,0
Mancherial,2016-03-01,March,2016,0
Mancherial,2016-04-01,April,2016,0
Mancherial,2016-05-01,May,2016,0
Mancherial,2016-06-01,June,2016,0
Mancherial,2016-07-01,July,2016,0
Mancherial,2016-08-01,August,2016,0
Mancherial,2016-09-01,September,2016,0
Mancherial,2016-10-01,October,2016,0
Mancherial,2016-11-01,November,2016,0
Mancherial,2016-12-01,December,2016,0
Medak ,2016-01-01,January,2016,0
Medak ,2016-02-01,February,2016,0
Medak ,2016-03-01,March,2016,0
Medak ,2016-04-01,April,2016,0
Medak ,2016-05-01,May,2016,0
Medak ,2016-06-01,June,2016,0
Medak ,2016-07-01,July,2016,0
Medak ,2016-08-01,August,2016,0
Medak ,2016-09-01,September,2016,0
Medak ,2016-10-01,October,2016,0
Medak ,2016-11-01,November,2016,0
Medak ,2016-12-01,December,2016,0
Medchal ,2016-01-01,January,2016,0
Medchal ,2016-02-01,February,2016,0
Medchal ,2016-03-01,March,2016,0
Medchal ,2016-04-01,April,2016,0
Medchal ,2016-05-01,May,2016,0
Medchal ,2016-06-01,June,2016,0
Medchal ,2016-07-01,July,2016,0
Medchal ,2016-08-01,August,2016,0
Medchal ,2016-09-01,September,2016,0
Medchal ,2016-10-01,October,2016,0
Medchal ,2016-11-01,November,2016,0
Medchal ,2016-12-01,December,2016,0
Nagarkurnool ,2016-01-01,January,2016,0
Nagarkurnool ,2016-02-01,February,2016,0
Nagarkurnool ,2016-03-01,March,2016,0
Nagarkurnool ,2016-04-01,April,2016,0
Nagarkurnool ,2016-05-01,May,2016,0
Nagarkurnool ,2016-06-01,June,2016,0
Nagarkurnool ,2016-07-01,July,2016,0
Nagarkurnool ,2016-08-01,August,2016,0
Nagarkurnool ,2016-09-01,September,2016,0
Nagarkurnool ,2016-10-01,October,2016,8
Nagarkurnool ,2016-11-01,November,2016,11
Nagarkurnool ,2016-12-01,December,2016,10
Nalgonda,2016-01-01,January,2016,0
Nalgonda,2016-02-01,February,2016,0
Nalgonda,2016-03-01,March,2016,0
Nalgonda,2016-04-01,April,2016,0
Nalgonda,2016-05-01,May,2016,0
Nalgonda,2016-06-01,June,2016,0
Nalgonda,2016-07-01,July,2016,0
Nalgonda,2016-08-01,August,2016,0
Nalgonda,2016-09-01,September,2016,0
Nalgonda,2016-10-01,October,2016,0
Nalgonda,2016-11-01,November,2016,0
