district,date,month,year,visitors
Adilabad,2019-01-01,January,2019,0
Adilabad,2019-02-01,February,2019,2
Adilabad,2019-03-01,March,2019,0
Adilabad,2019-04-01,April,2019,0
Adilabad,2019-05-01,May,2019,0
Adilabad,2019-06-01,June,2019,0
Adilabad,2019-07-01,July,2019,0
Adilabad,2019-08-01,August,2019,2
Adilabad,2019-09-01,September,2019,0
Adilabad,2019-10-01,October,2019,0
Adilabad,2019-11-01,November,2019,2
Adilabad,2019-12-01,December,2019,0
Bhadradri Kothagudem ,2019-01-01,January,2019,0
Bhadradri Kothagudem ,2019-02-01,February,2019,0
Bhadradri Kothagudem ,2019-03-01,March,2019,0
Bhadradri Kothagudem ,2019-04-01,April,2019,0
Bhadradri Kothagudem ,2019-05-01,May,2019,0
Bhadradri Kothagudem ,2019-06-01,June,2019,0
Bhadradri Kothagudem ,2019-07-01,July,2019,0
Bhadradri Kothagudem ,2019-08-01,August,2019,0
Bhadradri Kothagudem ,2019-09-01,September,2019,0
Bhadradri Kothagudem ,2019-10-01,October,2019,0
Bhadradri Kothagudem ,2019-11-01,November,2019,0
Bhadradri Kothagudem ,2019-12-01,December,2019,0
Hyderabad,2019-01-01,January,2019,35920
Hyderabad,2019-02-01,February,2019,25621
Hyderabad,2019-03-01,March,2019,21929
Hyderabad,2019-04-01,April,2019,18267
Hyderabad,2019-05-01,May,2019,17317
Hyderabad,2019-06-01,June,2019,20077
Hyderabad,2019-07-01,July,2019,27874
Hyderabad,2019-08-01,August,2019,22725
Hyderabad,2019-09-01,September,2019,34018
Hyderabad,2019-10-01,October,2019,28706
Hyderabad,2019-11-01,November,2019,32762
Hyderabad,2019-12-01,December,2019,34084
Jagtial ,2019-01-01,January,2019,0
Jagtial ,2019-02-01,February,2019,0
Jagtial ,2019-03-01,March,2019,0
Jagtial ,2019-04-01,April,2019,0
Jagtial ,2019-05-01,May,2019,0
Jagtial ,2019-06-01,June,2019,0
Jagtial ,2019-07-01,July,2019,0
Jagtial ,2019-08-01,August,2019,0
Jagtial ,2019-09-01,September,2019,0
Jagtial ,2019-10-01,October,2019,0
Jagtial ,2019-11-01,November,2019,0
Jagtial ,2019-12-01,December,2019,0
Jangaon ,2019-01-01,January,2019,0
Jangaon ,2019-02-01,February,2019,0
Jangaon ,2019-03-01,March,2019,0
Jangaon ,2019-04-01,April,2019,0
Jangaon ,2019-05-01,May,2019,0
Jangaon ,2019-06-01,June,2019,0
Jangaon ,2019-07-01,July,2019,0
Jangaon ,2019-08-01,August,2019,0
Jangaon ,2019-09-01,September,2019,0
Jangaon ,2019-10-01,October,2019,0
Jangaon ,2019-11-01,November,2019,0
Jangaon ,2019-12-01,December,2019,0
Jayashankar Bhoopalpally,2019-01-01,January,2019,45
Jayashankar Bhoopalpally,2019-02-01,February,2019,0
Jayashankar Bhoopalpally,2019-03-01,March,2019,0
Jayashankar Bhoopalpally,2019-04-01,April,2019,0
Jayashankar Bhoopalpally,2019-05-01,May,2019,0
Jayashankar Bhoopalpally,2019-06-01,June,2019,0
Jayashankar Bhoopalpally,2019-07-01,July,2019,0
Jayashankar Bhoopalpally,2019-08-01,August,2019,0
Jayashankar Bhoopalpally,2019-09-01,September,2019,0
Jayashankar Bhoopalpally,2019-10-01,October,2019,0
Jayashankar Bhoopalpally,2019-11-01,November,2019,0
Jayashankar Bhoopalpally,2019-12-01,December,2019,0
Jogulamba Gadwal ,2019-01-01,January,2019,36
Jogulamba Gadwal ,2019-02-01,February,2019,6
Jogulamba Gadwal ,2019-03-01,March,2019,22
Jogulamba Gadwal ,2019-04-01,April,2019,16
Jogulamba Gadwal ,2019-05-01,May,2019,20
Jogulamba Gadwal ,2019-06-01,June,2019,22
Jogulamba Gadwal ,2019-07-01,July,2019,37
Jogulamba Gadwal ,2019-08-01,August,2019,42
Jogulamba Gadwal ,2019-09-01,September,2019,25
Jogulamba Gadwal ,2019-10-01,October,2019,13
Jogulamba Gadwal ,2019-11-01,November,2019,45
Jogulamba Gadwal ,2019-12-01,December,2019,11
Kamareddy ,2019-01-01,January,2019,0
Kamareddy ,2019-02-01,February,2019,0
Kamareddy ,2019-03-01,March,2019,0
Kamareddy ,2019-04-01,April,2019,0
Kamareddy ,2019-05-01,May,2019,0
Kamareddy ,2019-06-01,June,2019,0
Kamareddy ,2019-07-01,July,2019,0
Kamareddy ,2019-08-01,August,2019,0
Kamareddy ,2019-09-01,September,2019,0
Kamareddy ,2019-10-01,October,2019,0
Kamareddy ,2019-11-01,November,2019,0
Kamareddy ,2019-12-01,December,2019,0
Karimnagar ,2019-01-01,January,2019,0
Karimnagar ,2019-02-01,February,2019,0
Karimnagar ,2019-03-01,March,2019,0
Karimnagar ,2019-04-01,April,2019,0
Karimnagar ,2019-05-01,May,2019,0
Karimnagar ,2019-06-01,June,2019,0
Karimnagar ,2019-07-01,July,2019,0
Karimnagar ,2019-08-01,August,2019,0
Karimnagar ,2019-09-01,September,2019,0
Karimnagar ,2019-10-01,October,2019,0
Karimnagar ,2019-11-01,November,2019,0
Karimnagar ,2019-12-01,December,2019,0
Khammam,2019-01-01,January,2019,0
Khammam,2019-02-01,February,2019,0
Khammam,2019-03-01,March,2019,0
Khammam,2019-04-01,April,2019,0
Khammam,2019-05-01,May,2019,0
Khammam,2019-06-01,June,2019,0
Khammam,2019-07-01,July,2019,0
Khammam,2019-08-01,August,2019,0
Khammam,2019-09-01,September,2019,0
Khammam,2019-10-01,October,2019,0
Khammam,2019-11-01,November,2019,0
Khammam,2019-12-01,December,2019,0
Komaram Bheem Asifabad,2019-01-01,January,2019,0
Komaram Bheem Asifabad,2019-02-01,February,2019,0
Komaram Bheem Asifabad,2019-03-01,March,2019,0
Komaram Bheem Asifabad,2019-04-01,April,2019,0
Komaram Bheem Asifabad,2019-05-01,May,2019,0
Komaram Bheem Asifabad,2019-06-01,June,2019,0
Komaram Bheem Asifabad,2019-07-01,July,2019,0
Komaram Bheem Asifabad,2019-08-01,August,2019,0
Komaram Bheem Asifabad,2019-09-01,September,2019,0
Komaram Bheem Asifabad,2019-10-01,October,2019,0
Komaram Bheem Asifabad,2019-11-01,November,2019,0
Komaram Bheem Asifabad,2019-12-01,December,2019,0
Mahabubabad ,2019-01-01,January,2019,0
Mahabubabad ,2019-02-01,February,2019,0
Mahabubabad ,2019-03-01,March,2019,0
Mahabubabad ,2019-04-01,April,2019,0
Mahabubabad ,2019-05-01,May,2019,0
Mahabubabad ,2019-06-01,June,2019,0
Mahabubabad ,2019-07-01,July,2019,0
