district,date,month,year,visitors
Jagtial ,2017-09-01,September,2017,0
Jagtial ,2017-10-01,October,2017,0
Jagtial ,2017-11-01,November,2017,0
Jagtial ,2017-12-01,December,2017,0
Jangaon ,2017-01-01,January,2017,0
Jangaon ,2017-02-01,February,2017,0
Jangaon ,2017-03-01,March,2017,0
Jangaon ,2017-04-01,April,2017,0
Jangaon ,2017-05-01,May,2017,0
Jangaon ,2017-06-01,June,2017,0
Jangaon ,2017-07-01,July,2017,0
Jangaon ,2017-08-01,August,2017,0
Jangaon ,2017-09-01,September,2017,0
Jangaon ,2017-10-01,October,2017,0
Jangaon ,2017-11-01,November,2017,0
Jangaon ,2017-12-01,December,2017,0
Jayashankar Bhoopalpally,2017-01-01,January,2017,85
Jayashankar Bhoopalpally,2017-02-01,February,2017,38
Jayashankar Bhoopalpally,2017-03-01,March,2017,35
Jayashankar Bhoopalpally,2017-04-01,April,2017,36
Jayashankar Bhoopalpally,2017-05-01,May,2017,40
Jayashankar Bhoopalpally,2017-06-01,June,2017,35
Jayashankar Bhoopalpally,2017-07-01,July,2017,42
Jayashankar Bhoopalpally,2017-08-01,August,2017,45
Jayashankar Bhoopalpally,2017-09-01,September,2017,56
Jayashankar Bhoopalpally,2017-10-01,October,2017,55
Jayashankar Bhoopalpally,2017-11-01,November,2017,58
Jayashankar Bhoopalpally,2017-12-01,December,2017,57
Jogulamba Gadwal ,2017-01-01,January,2017,20
Jogulamba Gadwal ,2017-02-01,February,2017,16
Jogulamba Gadwal ,2017-03-01,March,2017,32
Jogulamba Gadwal ,2017-04-01,April,2017,29
Jogulamba Gadwal ,2017-05-01,May,2017,31
Jogulamba Gadwal ,2017-06-01,June,2017,32
Jogulamba Gadwal ,2017-07-01,July,2017,34
Jogulamba Gadwal ,2017-08-01,August,2017,25
Jogulamba Gadwal ,2017-09-01,September,2017,42
Jogulamba Gadwal ,2017-10-01,October,2017,13
Jogulamba Gadwal ,2017-11-01,November,2017,21
Jogulamba Gadwal ,2017-12-01,December,2017,10
Kamareddy ,2017-01-01,January,2017,0
Kamareddy ,2017-02-01,February,2017,0
Kamareddy ,2017-03-01,March,2017,0
Kamareddy ,2017-04-01,April,2017,0
Kamareddy ,2017-05-01,May,2017,0
Kamareddy ,2017-06-01,June,2017,0
Kamareddy ,2017-07-01,July,2017,0
Kamareddy ,2017-08-01,August,2017,0
Kamareddy ,2017-09-01,September,2017,0
Kamareddy ,2017-10-01,October,2017,0
Kamareddy ,2017-11-01,November,2017,0
Kamareddy ,2017-12-01,December,2017,0
Karimnagar ,2017-01-01,January,2017,0
Karimnagar ,2017-02-01,February,2017,0
Karimnagar ,2017-03-01,March,2017,0
Karimnagar ,2017-04-01,April,2017,0
Karimnagar ,2017-05-01,May,2017,0
Karimnagar ,2017-06-01,June,2017,0
Karimnagar ,2017-07-01,July,2017,0
Karimnagar ,2017-08-01,August,2017,0
Karimnagar ,2017-09-01,September,2017,0
Karimnagar ,2017-10-01,October,2017,0
Karimnagar ,2017-11-01,November,2017,0
Karimnagar ,2017-12-01,December,2017,0
Khammam,2017-01-01,January,2017,0
Khammam,2017-02-01,February,2017,0
Khammam,2017-03-01,March,2017,0
Khammam,2017-04-01,April,2017,0
Khammam,2017-05-01,May,2017,0
Khammam,2017-06-01,June,2017,0
Khammam,2017-07-01,July,2017,0
Khammam,2017-08-01,August,2017,0
Khammam,2017-09-01,September,2017,0
Khammam,2017-10-01,October,2017,0
Khammam,2017-11-01,November,2017,0
Khammam,2017-12-01,December,2017,0
Komaram Bheem Asifabad,2017-01-01,January,2017,0
Komaram Bheem Asifabad,2017-02-01,February,2017,0
Komaram Bheem Asifabad,2017-03-01,March,2017,0
Komaram Bheem Asifabad,2017-04-01,April,2017,0
Komaram Bheem Asifabad,2017-05-01,May,2017,0
Komaram Bheem Asifabad,2017-06-01,June,2017,0
Komaram Bheem Asifabad,2017-07-01,July,2017,0
Komaram Bheem Asifabad,2017-08-01,August,2017,0
Komaram Bheem Asifabad,2017-09-01,September,2017,0
Komaram Bheem Asifabad,2017-10-01,October,2017,0
Komaram Bheem Asifabad,2017-11-01,November,2017,0
Komaram Bheem Asifabad,2017-12-01,December,2017,0
Mahabubabad ,2017-01-01,January,2017,0
Mahabubabad ,2017-02-01,February,2017,0
Mahabubabad ,2017-03-01,March,2017,0
Mahabubabad ,2017-04-01,April,2017,0
Mahabubabad ,2017-05-01,May,2017,0
Mahabubabad ,2017-06-01,June,2017,0
Mahabubabad ,2017-07-01,July,2017,0
Mahabubabad ,2017-08-01,August,2017,0
Mahabubabad ,2017-09-01,September,2017,0
Mahabubabad ,2017-10-01,October,2017,0
Mahabubabad ,2017-11-01,November,2017,0
Mahabubabad ,2017-12-01,December,2017,0
Mahbubnagar,2017-01-01,January,2017,42
Mahbubnagar,2017-02-01,February,2017,39
Mahbubnagar,2017-03-01,March,2017,38
Mahbubnagar,2017-04-01,April,2017,39
Mahbubnagar,2017-05-01,May,2017,41
Mahbubnagar,2017-06-01,June,2017,43
Mahbubnagar,2017-07-01,July,2017,42
Mahbubnagar,2017-08-01,August,2017,44
Mahbubnagar,2017-09-01,September,2017,54
Mahbubnagar,2017-10-01,October,2017,47
Mahbubnagar,2017-11-01,November,2017,49
Mahbubnagar,2017-12-01,December,2017,42
Mancherial,2017-01-01,January,2017,0
Mancherial,2017-02-01,February,2017,0
Mancherial,2017-03-01,March,2017,0
Mancherial,2017-04-01,April,2017,0
Mancherial,2017-05-01,May,2017,0
Mancherial,2017-06-01,June,2017,0
Mancherial,2017-07-01,July,2017,0
Mancherial,2017-08-01,August,2017,0
Mancherial,2017-09-01,September,2017,0
Mancherial,2017-10-01,October,2017,0
Mancherial,2017-11-01,November,2017,0
Mancherial,2017-12-01,December,2017,0
Medak ,2017-01-01,January,2017,0
Medak ,2017-02-01,February,2017,0
Medak ,2017-03-01,March,2017,0
Medak ,2017-04-01,April,2017,0
Medak ,2017-05-01,May,2017,0
Medak ,2017-06-01,June,2017,0
Medak ,2017-07-01,July,2017,0
Medak ,2017-08-01,August,2017,0
Medak ,2017-09-01,September,2017,0
Medak ,2017-10-01,October,2017,0
Medak ,2017-11-01,November,2017,0
Medak ,2017-12-01,December,2017,0
Medchal ,2017-01-01,January,2017,0
Medchal ,2017-02-01,February,2017,0
Medchal ,2017-03-01,March,2017,0
Medchal ,2017-04-01,April,2017,0
Medchal ,2017-05-01,May,2017,0
Medchal ,2017-06-01,June,2017,0
Medchal ,2017-07-01,July,2017,0
Medchal ,2017-08-01,August,2017,0
Medchal ,2017-09-01,September,2017,0
Medchal ,2017-10-01,October,2017,0
Medchal ,2017-11-01,November,2017,0
Medchal ,2017-12-01,December,2017,0
Nagarkurnool ,2017-01-01,January,2017,19
Nagarkurnool ,2017-02-01,February,2017,25
Nagarkurnool ,2017-03-01,March,2017,24
Nagarkurnool ,2017-04-01,April,2017,29
Nagarkurnool ,2017-05-01,May,2017,31
Nagarkurnool ,2017-06-01,June,2017,35
Nagarkurnool ,2017-07-01,July,2017,25
Nagarkurnool ,2017-08-01,August,2017,23
Nagarkurnool ,2017-09-01,September,2017,32
Nagarkurnool ,2017-10-01,October,2017,18
Nagarkurnool ,2017-11-01,November,2017,21
Nagarkurnool ,2017-12-01,December,2017,29
Nalgonda,2017-01-01,January,2017,0
Nalgonda,2017-02-01,February,2017,0
Nalgonda,2017-03-01,March,2017,0
Nalgonda,2017-04-01,April,2017,0
Nalgonda,2017-05-01,May,2017,0
Nalgonda,2017-06-01,June,2017,0
Nalgonda,2017-07-01,July,2017,0
Nalgonda,2017-08-01,August,2017,0
Nalgonda,2017-09-01,September,2017,0
Nalgonda,2017-10-01,October,2017,0
Nalgonda,2017-11-01,November,2017,0
Nalgonda,2017-12-01,December,2017,0
Nirmal,2017-01-01,January,2017,0
Nirmal,2017-02-01,February,2017,0
Nirmal,2017-03-01,March,2017,0
Nirmal,2017-04-01,April,2017,0
Nirmal,2017-05-01,May,2017,0
Nirmal,2017-06-01,June,2017,0
Nirmal,2017-07-01,July,2017,0
Nirmal,2017-08-01,August,2017,0
Nirmal,2017-09-01,September,2017,0
Nirmal,2017-10-01,October,2017,0
Nirmal,2017-11-01,November,2017,0
Nirmal,2017-12-01,December,2017,0
Nizamabad,2017-01-01,January,2017,0
Nizamabad,2017-02-01,February,2017,0
Nizamabad,2017-03-01,March,2017,0
Nizamabad,2017-04-01,April,2017,2
Nizamabad,2017-05-01,May,2017,0
Nizamabad,2017-06-01,June,2017,0
Nizamabad,2017-07-01,July,2017,0
Nizamabad,2017-08-01,August,2017,0
Nizamabad,2017-09-01,September,2017,0
Nizamabad,2017-10-01,October,2017,0
Nizamabad,2017-11-01,November,2017,0
Nizamabad,2017-12-01,December,2017,0
Peddapalli,2017-01-01,January,2017,0
Peddapalli,2017-02-01,February,2017,0
Peddapalli,2017-03-01,March,2017,0
Peddapalli,2017-04-01,April,2017,0
Peddapalli,2017-05-01,May,2017,0
Peddapalli,2017-06-01,June,2017,0
Peddapalli,2017-07-01,July,2017,0
Peddapalli,2017-08-01,August,2017,0
Peddapalli,2017-09-01,September,2017,0
Peddapalli,2017-10-01,October,2017,0
Peddapalli,2017-11-01,November,2017,0
Peddapalli,2017-12-01,December,2017,0
Rajanna Sircilla ,2017-01-01,January,2017,0
Rajanna Sircilla ,2017-02-01,February,2017,0
Rajanna Sircilla ,2017-03-01,March,2017,0
Rajanna Sircilla ,2017-04-01,April,2017,0
Rajanna Sircilla ,2017-05-01,May,2017,0
Rajanna Sircilla ,2017-06-01,June,2017,0
Rajanna Sircilla ,2017-07-01,July,2017,0
Rajanna Sircilla ,2017-08-01,August,2017,0
Rajanna Sircilla ,2017-09-01,September,2017,0
Rajanna Sircilla ,2017-10-01,October,2017,0
Rajanna Sircilla ,2017-11-01,November,2017,0
Rajanna Sircilla ,2017-12-01,December,2017,0
Ranga Reddy,2017-01-01,January,2017,0
Ranga Reddy,2017-02-01,February,2017,0
Ranga Reddy,2017-03-01,March,2017,0
Ranga Reddy,2017-04-01,April,2017,0
Ranga Reddy,2017-05-01,May,2017,0
Ranga Reddy,2017-06-01,June,2017,0
Ranga Reddy,2017-07-01,July,2017,0
Ranga Reddy,2017-08-01,August,2017,0
Ranga Reddy,2017-09-01,September,2017,0
Ranga Reddy,2017-10-01,October,2017,0
Ranga Reddy,2017-11-01,November,2017,0
Ranga Reddy,2017-12-01,December,2017,0
Sangareddy ,2017-01-01,January,2017,0
Sangareddy ,2017-02-01,February,2017,0
Sangareddy ,2017-03-01,March,2017,0
Sangareddy ,2017-04-01,April,2017,0
Sangareddy ,2017-05-01,May,2017,0
Sangareddy ,2017-06-01,June,2017,0
Sangareddy ,2017-07-01,July,2017,0
Sangareddy ,2017-08-01,August,2017,0
Sangareddy ,2017-09-01,September,2017,0
Sangareddy ,2017-10-01,October,2017,0
Sangareddy ,2017-11-01,November,2017,0
Sangareddy ,2017-12-01,December,2017,0
Siddipet,2017-01-01,January,2017,0
Siddipet,2017-02-01,February,2017,0
Siddipet,2017-03-01,March,2017,0
Siddipet,2017-04-01,April,2017,0
Siddipet,2017-05-01,May,2017,0
Siddipet,2017-06-01,June,2017,0
Siddipet,2017-07-01,July,2017,0
Siddipet,2017-08-01,August,2017,0
Siddipet,2017-09-01,September,2017,0
Siddipet,2017-10-01,October,2017,0
Siddipet,2017-11-01,November,2017,0
Siddipet,2017-12-01,December,2017,0
Suryapet,2017-01-01,January,2017,0
Suryapet,2017-02-01,February,2017,0
Suryapet,2017-03-01,March,2017,0
Suryapet,2017-04-01,April,2017,0
Suryapet,2017-05-01,May,2017,0
Suryapet,2017-06-01,June,2017,0
Suryapet,2017-07-01,July,2017,0
Suryapet,2017-08-01,August,2017,0
Suryapet,2017-09-01,September,2017,0
Suryapet,2017-10-01,October,2017,0
Suryapet,2017-11-01,November,2017,0
Suryapet,2017-12-01,December,2017,0
Vikarabad,2017-01-01,January,2017,0
Vikarabad,2017-02-01,February,2017,0
Vikarabad,2017-03-01,March,2017,0
Vikarabad,2017-04-01,April,2017,0
Vikarabad,2017-05-01,May,2017,0
Vikarabad,2017-06-01,June,2017,0
Vikarabad,2017-07-01,July,2017,0
Vikarabad,2017-08-01,August,2017,0
Vikarabad,2017-09-01,September,2017,0
Vikarabad,2017-10-01,October,2017,0
Vikarabad,2017-11-01,November,2017,0
Vikarabad,2017-12-01,December,2017,0
Wanaparthy ,2017-01-01,January,2017,0
Wanaparthy ,2017-02-01,February,2017,0
Wanaparthy ,2017-03-01,March,2017,0
Wanaparthy ,2017-04-01,April,2017,0
Wanaparthy ,2017-05-01,May,2017,0
Wanaparthy ,2017-06-01,June,2017,0
Wanaparthy ,2017-07-01,July,2017,0
Wanaparthy ,2017-08-01,August,2017,0
Wanaparthy ,2017-09-01,September,2017,0
Wanaparthy ,2017-10-01,October,2017,0
Wanaparthy ,2017-11-01,November,2017,0
Wanaparthy ,2017-12-01,December,2017,0
Warangal (Rural),2017-01-01,January,2017,35
Warangal (Rural),2017-02-01,February,2017,25
Warangal (Rural),2017-03-01,March,2017,17
Warangal (Rural),2017-04-01,April,2017,19
Warangal (Rural),2017-05-01,May,2017,21
Warangal (Rural),2017-06-01,June,2017,24
Warangal (Rural),2017-07-01,July,2017,25
Warangal (Rural),2017-08-01,August,2017,28
Warangal (Rural),2017-09-01,September,2017,26
Warangal (Rural),2017-10-01,October,2017,25
Warangal (Rural),2017-11-01,November,2017,29
Warangal (Rural),2017-12-01,December,2017,32
Warangal (Urban),2017-01-01,January,2017,235
Warangal (Urban),2017-02-01,February,2017,242
Warangal (Urban),2017-03-01,March,2017,238
Warangal (Urban),2017-04-01,April,2017,209
Warangal (Urban),2017-05-01,May,2017,211
Warangal (Urban),2017-06-01,June,2017,194
Warangal (Urban),2017-07-01,July,2017,116
Warangal (Urban),2017-08-01,August,2017,219
Warangal (Urban),2017-09-01,September,2017,225
Warangal (Urban),2017-10-01,October,2017,236
Warangal (Urban),2017-11-01,November,2017,255
Warangal (Urban),2017-12-01,December,2017,250
Yadadri Bhongir,2017-01-01,January,2017,0
Yadadri Bhongir,2017-02-01,February,2017,0
Yadadri Bhongir,2017-03-01,March,2017,0
Yadadri Bhongir,2017-04-01,April,2017,0
Yadadri Bhongir,2017-05-01,May,2017,0
Yadadri Bhongir,2017-06-01,June,2017,0
Yadadri Bhongir,2017-07-01,July,2017,0
Yadadri Bhongir,2017-08-01,August,2017,0
Yadadri Bhongir,2017-09-01,September,2017,0
Yadadri Bhongir,2017-10-01,October,2017,0
Yadadri Bhongir,2017-11-01,November,2017,0
Yadadri Bhongir,2017-12-01,December,2017,0
