district,date,month,year,visitors
Adilabad,2017-01-01,January,2017,5
Adilabad,2017-02-01,February,2017,0
Adilabad,2017-03-01,March,2017,0
Adilabad,2017-04-01,April,2017,0
Adilabad,2017-05-01,May,2017,0
Adilabad,2017-06-01,June,2017,3
Adilabad,2017-07-01,July,2017,0
Adilabad,2017-08-01,August,2017,0
Adilabad,2017-09-01,September,2017,3
Adilabad,2017-10-01,October,2017,0
Adilabad,2017-11-01,November,2017,0
Adilabad,2017-12-01,December,2017,0
Bhadradri Kothagudem ,2017-01-01,January,2017,0
Bhadradri Kothagudem ,2017-02-01,February,2017,0
Bhadradri Kothagudem ,2017-03-01,March,2017,0
Bhadradri Kothagudem ,2017-04-01,April,2017,0
Bhadradri Kothagudem ,2017-05-01,May,2017,0
Bhadradri Kothagudem ,2017-06-01,June,2017,0
Bhadradri Kothagudem ,2017-07-01,July,2017,0
Bhadradri Kothagudem ,2017-08-01,August,2017,0
Bhadradri Kothagudem ,2017-09-01,September,2017,0
Bhadradri Kothagudem ,2017-10-01,October,2017,0
Bhadradri Kothagudem ,2017-11-01,November,2017,0
Bhadradri Kothagudem ,2017-12-01,December,2017,0
Hyderabad,2017-01-01,January,2017,19286
Hyderabad,2017-02-01,February,2017,18097
Hyderabad,2017-03-01,March,2017,13875
Hyderabad,2017-04-01,April,2017,12996
Hyderabad,2017-05-01,May,2017,12983
Hyderabad,2017-06-01,June,2017,12486
Hyderabad,2017-07-01,July,2017,18144
Hyderabad,2017-08-01,August,2017,16985
Hyderabad,2017-09-01,September,2017,27856
Hyderabad,2017-10-01,October,2017,26368
Hyderabad,2017-11-01,November,2017,29170
Hyderabad,2017-12-01,December,2017,38933
Jagtial ,2017-01-01,January,2017,0
Jagtial ,2017-02-01,February,2017,0
Jagtial ,2017-03-01,March,2017,0
Jagtial ,2017-04-01,April,2017,0
Jagtial ,2017-05-01,May,2017,0
Jagtial ,2017-06-01,June,2017,0
Jagtial ,2017-07-01,July,2017,0
Jagtial ,2017-08-01,August,2017,0
