district,date,month,year,visitors
Jayashankar Bhoopalpally,2018-07-01,July,2018,128550
Jayashankar Bhoopalpally,2018-08-01,August,2018,184700
Jayashankar Bhoopalpally,2018-09-01,September,2018,192300
Jayashankar Bhoopalpally,2018-10-01,October,2018,195400
Jayashankar Bhoopalpally,2018-11-01,November,2018,196500
Jayashankar Bhoopalpally,2018-12-01,December,2018,245625
Jogulamba Gadwal ,2018-01-01,January,2018,146441
Jogulamba Gadwal ,2018-02-01,February,2018,481110
Jogulamba Gadwal ,2018-03-01,March,2018,155013
Jogulamba Gadwal ,2018-04-01,April,2018,138673
Jogulamba Gadwal ,2018-05-01,May,2018,131426
Jogulamba Gadwal ,2018-06-01,June,2018,160182
Jogulamba Gadwal ,2018-07-01,July,2018,114951
Jogulamba Gadwal ,2018-08-01,August,2018,123733
Jogulamba Gadwal ,2018-09-01,September,2018,121710
Jogulamba Gadwal ,2018-10-01,October,2018,152898
Jogulamba Gadwal ,2018-11-01,November,2018,128075
Jogulamba Gadwal ,2018-12-01,December,2018,182333
Kamareddy ,2018-01-01,January,2018,44
Kamareddy ,2018-02-01,February,2018,44
Kamareddy ,2018-03-01,March,2018,45
Kamareddy ,2018-04-01,April,2018,45
Kamareddy ,2018-05-01,May,2018,49
Kamareddy ,2018-06-01,June,2018,56
Kamareddy ,2018-07-01,July,2018,48
Kamareddy ,2018-08-01,August,2018,55
Kamareddy ,2018-09-01,September,2018,40
Kamareddy ,2018-10-01,October,2018,62
Kamareddy ,2018-11-01,November,2018,41
Kamareddy ,2018-12-01,December,2018,43
Karimnagar ,2018-01-01,January,2018,13505
Karimnagar ,2018-02-01,February,2018,9330
Karimnagar ,2018-03-01,March,2018,7205
Karimnagar ,2018-04-01,April,2018,5830
Karimnagar ,2018-05-01,May,2018,5689
Karimnagar ,2018-06-01,June,2018,7180
Karimnagar ,2018-07-01,July,2018,6686
Karimnagar ,2018-08-01,August,2018,8480
Karimnagar ,2018-09-01,September,2018,8480
Karimnagar ,2018-10-01,October,2018,6118
Karimnagar ,2018-11-01,November,2018,7145
Karimnagar ,2018-12-01,December,2018,7800
Khammam,2018-01-01,January,2018,110094
Khammam,2018-02-01,February,2018,104444
Khammam,2018-03-01,March,2018,127152
Khammam,2018-04-01,April,2018,126553
Khammam,2018-05-01,May,2018,135189
Khammam,2018-06-01,June,2018,135988
Khammam,2018-07-01,July,2018,85932
Khammam,2018-08-01,August,2018,86309
