district,date,month,year,visitors
Adilabad,2018-01-01,January,2018,0
Adilabad,2018-02-01,February,2018,0
Adilabad,2018-03-01,March,2018,0
Adilabad,2018-04-01,April,2018,0
Adilabad,2018-05-01,May,2018,0
Adilabad,2018-06-01,June,2018,0
Adilabad,2018-07-01,July,2018,2
Adilabad,2018-08-01,August,2018,3
Adilabad,2018-09-01,September,2018,0
Adilabad,2018-10-01,October,2018,0
Adilabad,2018-11-01,November,2018,0
Adilabad,2018-12-01,December,2018,0
Bhadradri Kothagudem ,2018-01-01,January,2018,0
Bhadradri Kothagudem ,2018-02-01,February,2018,0
Bhadradri Kothagudem ,2018-03-01,March,2018,0
Bhadradri Kothagudem ,2018-04-01,April,2018,0
Bhadradri Kothagudem ,2018-05-01,May,2018,0
Bhadradri Kothagudem ,2018-06-01,June,2018,0
Bhadradri Kothagudem ,2018-07-01,July,2018,0
Bhadradri Kothagudem ,2018-08-01,August,2018,0
Bhadradri Kothagudem ,2018-09-01,September,2018,0
Bhadradri Kothagudem ,2018-10-01,October,2018,0
Bhadradri Kothagudem ,2018-11-01,November,2018,0
Bhadradri Kothagudem ,2018-12-01,December,2018,0
Hyderabad,2018-01-01,January,2018,35379
Hyderabad,2018-02-01,February,2018,30414
Hyderabad,2018-03-01,March,2018,27535
Hyderabad,2018-04-01,April,2018,20830
Hyderabad,2018-05-01,May,2018,21554
Hyderabad,2018-06-01,June,2018,24677
Hyderabad,2018-07-01,July,2018,17456
Hyderabad,2018-08-01,August,2018,31217
Hyderabad,2018-09-01,September,2018,22809
Hyderabad,2018-10-01,October,2018,30072
Hyderabad,2018-11-01,November,2018,23487
Hyderabad,2018-12-01,December,2018,29358
Jagtial ,2018-01-01,January,2018,0
Jagtial ,2018-02-01,February,2018,0
Jagtial ,2018-03-01,March,2018,0
Jagtial ,2018-04-01,April,2018,0
Jagtial ,2018-05-01,May,2018,0
Jagtial ,2018-06-01,June,2018,0
Jagtial ,2018-07-01,July,2018,0
Jagtial ,2018-08-01,August,2018,0
Jagtial ,2018-09-01,September,2018,0
Jagtial ,2018-10-01,October,2018,0
Jagtial ,2018-11-01,November,2018,0
Jagtial ,2018-12-01,December,2018,0
Jangaon ,2018-01-01,January,2018,0
Jangaon ,2018-02-01,February,2018,0
Jangaon ,2018-03-01,March,2018,0
Jangaon ,2018-04-01,April,2018,0
Jangaon ,2018-05-01,May,2018,0
Jangaon ,2018-06-01,June,2018,0
Jangaon ,2018-07-01,July,2018,0
Jangaon ,2018-08-01,August,2018,0
Jangaon ,2018-09-01,September,2018,0
Jangaon ,2018-10-01,October,2018,0
Jangaon ,2018-11-01,November,2018,0
Jangaon ,2018-12-01,December,2018,0
Jayashankar Bhoopalpally,2018-01-01,January,2018,50
Jayashankar Bhoopalpally,2018-02-01,February,2018,60
Jayashankar Bhoopalpally,2018-03-01,March,2018,70
Jayashankar Bhoopalpally,2018-04-01,April,2018,45
Jayashankar Bhoopalpally,2018-05-01,May,2018,40
Jayashankar Bhoopalpally,2018-06-01,June,2018,35
Jayashankar Bhoopalpally,2018-07-01,July,2018,40
Jayashankar Bhoopalpally,2018-08-01,August,2018,35
Jayashankar Bhoopalpally,2018-09-01,September,2018,40
Jayashankar Bhoopalpally,2018-10-01,October,2018,40
Jayashankar Bhoopalpally,2018-11-01,November,2018,40
Jayashankar Bhoopalpally,2018-12-01,December,2018,44
Jogulamba Gadwal ,2018-01-01,January,2018,36
Jogulamba Gadwal ,2018-02-01,February,2018,6
Jogulamba Gadwal ,2018-03-01,March,2018,22
Jogulamba Gadwal ,2018-04-01,April,2018,15
Jogulamba Gadwal ,2018-05-01,May,2018,19
Jogulamba Gadwal ,2018-06-01,June,2018,19
Jogulamba Gadwal ,2018-07-01,July,2018,37
Jogulamba Gadwal ,2018-08-01,August,2018,42
Jogulamba Gadwal ,2018-09-01,September,2018,35
Jogulamba Gadwal ,2018-10-01,October,2018,13
Jogulamba Gadwal ,2018-11-01,November,2018,45
Jogulamba Gadwal ,2018-12-01,December,2018,11
Kamareddy ,2018-01-01,January,2018,0
Kamareddy ,2018-02-01,February,2018,0
Kamareddy ,2018-03-01,March,2018,0
Kamareddy ,2018-04-01,April,2018,0
Kamareddy ,2018-05-01,May,2018,0
Kamareddy ,2018-06-01,June,2018,0
Kamareddy ,2018-07-01,July,2018,0
Kamareddy ,2018-08-01,August,2018,0
Kamareddy ,2018-09-01,September,2018,0
Kamareddy ,2018-10-01,October,2018,0
Kamareddy ,2018-11-01,November,2018,0
Kamareddy ,2018-12-01,December,2018,0
Karimnagar ,2018-01-01,January,2018,0
Karimnagar ,2018-02-01,February,2018,0
Karimnagar ,2018-03-01,March,2018,0
Karimnagar ,2018-04-01,April,2018,0
Karimnagar ,2018-05-01,May,2018,0
Karimnagar ,2018-06-01,June,2018,0
Karimnagar ,2018-07-01,July,2018,0
Karimnagar ,2018-08-01,August,2018,0
Karimnagar ,2018-09-01,September,2018,0
Karimnagar ,2018-10-01,October,2018,0
Karimnagar ,2018-11-01,November,2018,0
Karimnagar ,2018-12-01,December,2018,0
Khammam,2018-01-01,January,2018,0
Khammam,2018-02-01,February,2018,0
Khammam,2018-03-01,March,2018,0
Khammam,2018-04-01,April,2018,0
Khammam,2018-05-01,May,2018,0
Khammam,2018-06-01,June,2018,0
Khammam,2018-07-01,July,2018,0
Khammam,2018-08-01,August,2018,0
Khammam,2018-09-01,September,2018,0
Khammam,2018-10-01,October,2018,0
Khammam,2018-11-01,November,2018,0
Khammam,2018-12-01,December,2018,0
Komaram Bheem Asifabad,2018-01-01,January,2018,0
Komaram Bheem Asifabad,2018-02-01,February,2018,0
Komaram Bheem Asifabad,2018-03-01,March,2018,0
Komaram Bheem Asifabad,2018-04-01,April,2018,0
